municipality	postcode	year	count
Hele landet	Hele landet	2010	5534738
Hele landet	Hele landet	2011	5560628
Hele landet	Hele landet	2012	5580516
Hele landet	Hele landet	2013	5602628
Hele landet	Hele landet	2014	5627235
Hele landet	Hele landet	2015	5659715
Hele landet	Hele landet	2016	5707251
Hele landet	Hele landet	2017	5748769
Hele landet	Hele landet	2018	5781190
Hele landet	Hele landet	2019	5806081
Hele landet	Hele landet	2020	5822763
Hele landet	Hele landet	2021	5840045
Hele landet	Hele landet	2022	5873420
Hele landet	Hele landet	2023	5932654
Hele landet	Hele landet	2024	5961249
Hele landet	Hele landet	2025	5992734
Hele landet	Hele landet	2026	6025603
101 København	1050 København K	2010	22
101 København	1050 København K	2011	20
101 København	1050 København K	2012	23
101 København	1050 København K	2013	23
101 København	1050 København K	2014	24
101 København	1050 København K	2015	20
101 København	1050 København K	2016	17
101 København	1050 København K	2017	18
101 København	1050 København K	2018	16
101 København	1050 København K	2019	15
101 København	1050 København K	2020	13
101 København	1050 København K	2021	15
101 København	1050 København K	2022	17
101 København	1050 København K	2023	17
101 København	1050 København K	2024	22
101 København	1050 København K	2025	20
101 København	1050 København K	2026	23
101 København	1051 København K	2010	265
101 København	1051 København K	2011	289
101 København	1051 København K	2012	293
101 København	1051 København K	2013	335
101 København	1051 København K	2014	352
101 København	1051 København K	2015	342
101 København	1051 København K	2016	340
101 København	1051 København K	2017	338
101 København	1051 København K	2018	369
101 København	1051 København K	2019	409
101 København	1051 København K	2020	390
101 København	1051 København K	2021	408
101 København	1051 København K	2022	402
101 København	1051 København K	2023	425
101 København	1051 København K	2024	417
101 København	1051 København K	2025	399
101 København	1051 København K	2026	412
101 København	1052 København K	2010	407
101 København	1052 København K	2011	429
101 København	1052 København K	2012	434
101 København	1052 København K	2013	421
101 København	1052 København K	2014	396
101 København	1052 København K	2015	406
101 København	1052 København K	2016	403
101 København	1052 København K	2017	389
101 København	1052 København K	2018	409
101 København	1052 København K	2019	412
101 København	1052 København K	2020	421
101 København	1052 København K	2021	412
101 København	1052 København K	2022	405
101 København	1052 København K	2023	400
101 København	1052 København K	2024	408
101 København	1052 København K	2025	421
101 København	1052 København K	2026	425
101 København	1053 København K	2010	415
101 København	1053 København K	2011	414
101 København	1053 København K	2012	420
101 København	1053 København K	2013	423
101 København	1053 København K	2014	431
101 København	1053 København K	2015	387
