pharmacy_number;filial_number;pharmacy_name;address;postcode;city;pharmacy_types;ibnr;search_string;lattitude;longitude;found_address
3;00;Viborg Svane Apotek;Lille Sct. Pedersstræde 10-12;8800;Viborg;Apotek;00300;Lille Sct. Pedersstræde 10-12, 8800;56.45210321;9.46094045;first postcode address
3;01;Viborg Rådhus Apotek;Farvervej 2G;8800;Viborg;Filial frivillig;00301;Farvervej 2G, 8800;56.46071154;9.39833632;road
3;02;Overlund Apotek;Randersvej 60;8800;Viborg;Filial frivillig;00302;Randersvej 60, 8800;56.4523945;9.44847411;road
5;00;Kolding Løve Apotek;Gefionsvej 16;6000;Kolding;Apotek;00500;Gefionsvej 16, 6000;55.49071245;9.47339397;first postcode address
5;01;Kolding Løve Apotek Storcenter;Skovvangen 42;6000;Kolding;Filial frivillig;00501;Skovvangen 42, 6000;55.51390792;9.46006627;road
5;02;Løve Apoteket Vonsildvej;Vonsildvej 1G;6000;Kolding;Filial frivillig;00502;Vonsildvej 1G, 6000;55.46873374;9.47189806;road
6;00;Århus Løve Apotek;Store Torv 5;8000;Århus C;Apotek;00600;Store Torv 5, 8000;56.15719167;10.2086289;road
6;02;Aarhus Ø Apotek;Bernhard Jensens Boulevard 81;8000;Århus C;Filial frivillig;00602;Bernhard Jensens Boulevard 81, 8000;56.15385018;10.20713737;first postcode address
7;00;Sorø Apotek;Storgade 19;4180;Sorø;Apotek;00700;Storgade 19, 4180;55.44722105;11.54524877;first postcode address
7;01;Sorø Frederiksberg Apotek;Norgesvej 2;4180;Sorø;Filial frivillig;00701;Norgesvej 2, 4180;55.41532547;11.56242518;road
7;02;Jernbaneapoteket i Slagelse;Sdr. Stationsvej 28;4200;Slagelse;Filial frivillig;00702;Sdr. Stationsvej 28, 4200;55.40720389;11.34813815;road
8;00;Ribe Apotek;c/o Kvickly, Seminarievej 1;6760;Ribe;Apotek-tillægsbevilling;00800;c/o Kvickly, Seminarievej 1, 6760;55.32729453;8.76259524;first postcode address
11;00;Randers Løve Apotek;Østervold 24;8900;Randers;Apotek;01100;Østervold 24, 8900;56.46073493;10.03905218;road
11;01;Kristrup Apotek;Valdemarsvej 1 st.;8960;Randers SØ;Filial frivillig;01101;Valdemarsvej 1 st., 8960;56.44703163;10.05519289;road
11;02;Hornbæk Løve Apotek;Viborgvej 102;8920;Randers NV;Filial frivillig;01102;Viborgvej 102, 8920;56.46660276;9.9950993;road
11;03;Paderup Løve Apotek;Merkurvej 55;8960;Randers SØ;Filial frivillig;01103;Merkurvej 55, 8960;56.4296696;10.06398731;road
12;00;Næstved Løve Apotek;Axeltorv 12;4700;Næstved;Apotek;01200;Axeltorv 12, 4700;55.23119285;11.758059;road
12;01;Næstved Storcenter Apotek;Næstved Storcenter 45;4700;Næstved;Filial frivillig;01201;Næstved Storcenter 45, 4700;55.25327011;11.78062087;road
12;02;Slagelse Løve Apotek;Jernbanegade 10;4200;Slagelse;Filial frivillig;01202;Jernbanegade 10, 4200;55.40536698;11.35373396;road
12;03;Fensmark Løve Apotek;Holmegårdsvej 1A;4684;Holmegaard;Filial frivillig;01203;Holmegårdsvej 1A, 4684;55.28002022;11.8045365;road
13;00;Nakskov Krone Apotek;Nygade 17-19;4900;Nakskov;Apotek-tillægsbevilling;01300;Nygade 17-19, 4900;54.83406541;11.11525387;first postcode address
13;01;Havnegade Krone Apotek;Havnegade 69;4900;Nakskov;Filial frivillig;01301;Havnegade 69, 4900;54.82885863;11.13733259;road
13;02;Sakskøbing Krone Apotek;Søndergade 11;4990;Sakskøbing;Filial frivillig;01302;Søndergade 11, 4990;54.7987089;11.63680012;road
14;00;Køge Torvets Apotek;Brogade 1;4600;Køge;Apotek;01400;Brogade 1, 4600;55.45582308;12.18239556;road
14;01;Solrød Apotek;Solrød Center 55;2680;Solrød Strand;Filial frivillig;01401;Solrød Center 55, 2680;55.53316786;12.2188896;road
14;02;Køge Stations Apotek;Rådhusstræde 10G;4600;Køge;Filial frivillig;01402;Rådhusstræde 10G, 4600;55.45857879;12.18620037;road
15;00;Løve Apoteket Lillebælt Løvbjerg;Strevelinsvej 11;7000;Fredericia;Apotek;01500;Strevelinsvej 11, 7000;55.53537657;9.7176853;road
15;02;Fredericia Løve Apoteket Vestc.;Venusvej 10 B;7000;Fredericia;Filial frivillig;01502;Venusvej 10 B, 7000;55.5701272;9.75038789;first postcode address
15;03;Middelfart Løve Apotek Kløvervej;Kløvervej 10-14;5500;Middelfart;Filial frivillig;01503;Kløvervej 10-14, 5500;55.50665211;9.72792501;first postcode address
15;04;Middelfart Østergade Løve Apotek;Østergade 18;5500;Middelfart;Filial frivillig;01504;Østergade 18, 5500;55.50370753;9.73705905;road
17;00;Roskilde Dom Apotek;Algade 51;4000;Roskilde;Apotek;01700;Algade 51, 4000;55.64067382;12.08924593;road
17;07;Trekroner Løve Apotek;Trekroner Centervej 59-61;4000;Roskilde;Filial frivillig;01707;Trekroner Centervej 59-61, 4000;55.64140256;12.08433541;first postcode address
18;00;Nykøbing F. Løve Apotek;Langgade 5;4800;Nykøbing Falster;Apotek;01800;Langgade 5, 4800;54.76734039;11.86712634;road
18;01;Nysted Løve Apotek;Adelgade 13;4880;Nysted;Filial;01801;Adelgade 13, 4880;54.66899706;11.72876235;road
18;04;Løve Apotek Maribo Ved Åen;Ved Åen 1;4930;Maribo;Filial frivillig;01804;Ved Åen 1, 4930;54.77571387;11.49272614;road
18;05;Løve Apotek Rødby;Østergade 6;4970;Rødby;Filial frivillig;01805;Østergade 6, 4970;54.69554135;11.38808464;road
19;00;Firkløver Apoteket Søndergade;Søndergade 37;8700;Horsens;Apotek-tillægsbevilling;01900;Søndergade 37, 8700;55.86197281;9.84939647;road
