municipality	municipality_code	postalcode_name	postal_code	year	count
København	101	København K	1050	2010	22
København	101	København K	1050	2011	20
København	101	København K	1050	2012	23
København	101	København K	1050	2013	23
København	101	København K	1050	2014	24
København	101	København K	1050	2015	20
København	101	København K	1050	2016	17
København	101	København K	1050	2017	18
København	101	København K	1050	2018	16
København	101	København K	1050	2019	15
København	101	København K	1050	2020	13
København	101	København K	1050	2021	15
København	101	København K	1050	2022	17
København	101	København K	1050	2023	17
København	101	København K	1050	2024	22
København	101	København K	1050	2025	20
København	101	København K	1050	2026	23
København	101	København K	1051	2010	265
København	101	København K	1051	2011	289
København	101	København K	1051	2012	293
København	101	København K	1051	2013	335
København	101	København K	1051	2014	352
København	101	København K	1051	2015	342
København	101	København K	1051	2016	340
København	101	København K	1051	2017	338
København	101	København K	1051	2018	369
København	101	København K	1051	2019	409
København	101	København K	1051	2020	390
København	101	København K	1051	2021	408
København	101	København K	1051	2022	402
København	101	København K	1051	2023	425
København	101	København K	1051	2024	417
København	101	København K	1051	2025	399
København	101	København K	1051	2026	412
København	101	København K	1052	2010	407
København	101	København K	1052	2011	429
København	101	København K	1052	2012	434
København	101	København K	1052	2013	421
København	101	København K	1052	2014	396
København	101	København K	1052	2015	406
København	101	København K	1052	2016	403
København	101	København K	1052	2017	389
København	101	København K	1052	2018	409
København	101	København K	1052	2019	412
København	101	København K	1052	2020	421
København	101	København K	1052	2021	412
København	101	København K	1052	2022	405
København	101	København K	1052	2023	400
København	101	København K	1052	2024	408
København	101	København K	1052	2025	421
København	101	København K	1052	2026	425
København	101	København K	1053	2010	415
København	101	København K	1053	2011	414
København	101	København K	1053	2012	420
København	101	København K	1053	2013	423
København	101	København K	1053	2014	431
København	101	København K	1053	2015	387
København	101	København K	1053	2016	375
København	101	København K	1053	2017	398
København	101	København K	1053	2018	401
København	101	København K	1053	2019	363
København	101	København K	1053	2020	337
København	101	København K	1053	2021	330
København	101	København K	1053	2022	311
København	101	København K	1053	2023	305
København	101	København K	1053	2024	353
København	101	København K	1053	2025	404
København	101	København K	1053	2026	416
København	101	København K	1054	2010	433
København	101	København K	1054	2011	462
København	101	København K	1054	2012	434
København	101	København K	1054	2013	413
København	101	København K	1054	2014	417
København	101	København K	1054	2015	416
København	101	København K	1054	2016	444
København	101	København K	1054	2017	438
København	101	København K	1054	2018	463
