RecArt;SHAK_code;DatoStart;DatoChange;DatoEnd;Codetext;Agrp;Bgrp;Cgrp;SKS;Egrp;Aval;Bval;Cval;Dval;Inclusion;ExtraReg
sgh;1301;19760401;20250527;20260630;Rigshospitalet;101.0;1.0;;;SKS;;;;3.0;;
afd;130101;20060101;20250527;20260630;Anæstesiologisk Klinik, AN;;;;;SKS;;;;3.0;;
afd;1301010;19760401;19760401;19781231;ANÆSTHESIAFDELING AN;84.0;;;;;;;;;;
afd;1301011;19790101;19790101;19821231;ANÆSTHESIAFD. AN;84.0;;;;;;;;;;
afd;1301011;19830101;19830101;19941231;ANÆSTESIAFD. AN,ANÆSTESIAFSNIT;84.0;;;;;;;;;;
afd;1301011;19950101;19991124;19991231;ANÆSTESIAFD. AN,ANÆSTESIAFSNIT;84.0;;;;SKS;;;;3.0;;
afd;1301011;20000101;20041029;20031231;Anæstesiologisk klinik AN, anæstesiafsnit;84.0;;;;SKS;;;;3.0;;
afd;1301011;20040101;20250527;20260630;Anæstesi-/operationsklinik, CKO;84.0;;;;SKS;;;;3.0;;
afd;1301012;19870101;19870101;19891231;ANÆSTESIAFD.AN,STRANDB.;84.0;;;;;;;;;;
afd;1301012;19920101;19920101;19941231;ANÆSTESIAFD. AN INTENSIVT AFSN;84.0;;;;;;;;;;
afd;1301012;19950101;19991124;19991231;ANÆSTESIAFD. AN INTENSIVT AFSN;84.0;;;;SKS;;;;3.0;;
afd;1301012;20000101;20041029;20041231;Anæstesiologisk klinik AN, intensivt afsnit;84.0;;;;SKS;;;;3.0;;
afd;1301013;20000101;20041029;20031231;Anæstesiologisk klinik AN, opvågning/overnatning;84.0;;;;SKS;;;;3.0;;
afd;1301013;20040101;20211008;20211016;Anæstesi-/operationsklinik, opvågningsafsnit, ABD;84.0;;;;SKS;;;;3.0;;
afd;1301015;20010101;20250527;20260630;Anæstesi-/operationsklink, JMC;84.0;;;;SKS;;;;3.0;;
afd;1301017;19880101;19880101;19941231;ANÆSTESIAFD. AN, SMERTEKLINIK;84.0;;;;;;;;;;
afd;1301017;19950101;19991124;19991231;ANÆSTESIAFD. AN, SMERTEKLINIK;84.0;;;;SKS;;;;3.0;;
afd;1301017;20000101;20220314;20220322;Anæstesiologisk klinik AN, smerteklinik;84.0;;;;SKS;;;;3.0;;
afd;1301019;19870101;19870101;19891231;ANÆSTESIAMB. AN, STRANDB.;84.0;;;;;;;;;;
afd;130101A;20000101;20041029;20031231;Anæstesi-/operationsklinik, HOC;84.0;;;;SKS;;;;3.0;;
afd;130101A;20040101;20240625;20241001;Henteambulance, HOC;84.0;;;;SKS;;;;3.0;;
afd;130101B;20000101;20220314;20220322;Hyperbar iltbehandling, HOC;84.0;;;;SKS;;;;3.0;;
afd;130101C;20010101;20240625;20241001;Lægeambulance;84.0;;;;SKS;;;;3.0;;
afd;130101D;20040501;20240625;20240703;Anæstesi Allergi, HOC;84.0;;;;SKS;;;;3.0;;
afd;130101E;20040101;20240625;20241001;Anæstesi-/operationsklinik, HOC;84.0;;;;SKS;;;;3.0;;
afd;130101F;20100501;20240625;20241001;Akut Lægehelikopter, HOC;84.0;;;;SKS;;;;3.0;;
afd;130101G;20140101;20250527;20260630;Anæstesiologisk klinik NEU GLO;84.0;;;;SKS;;;;3.0;;
afd;130101H;20140101;20240513;20240613;Anæst. Smerteklinik NEU GLO;84.0;;;;SKS;;;;3.0;;
afd;130101J;20161105;20250527;20260630;ITA opfølgning og rehabilitering AN;84.0;;;;SKS;;;;3.0;;
afd;1301020;19760401;19760401;19781231;BØRNEPSYKIATRISK AFDELING OB;52.0;50.0;;;;;;;;;
afd;1301021;19790101;19790101;19821231;BØRNEPSYKIATRISK AFD. OB;52.0;50.0;;;;;;;;;
afd;1301021;19830101;19830101;19871231;BØRNEPSYKIATRISK AFD. OB;52.0;50.0;;;;;;;;;
afd;1301021;19880101;19880101;19901231;BØRNEPSYKIATRISK AFD. OB;52.0;50.0;;;;;;;;;
afd;1301021;19910101;19910101;19911231;BØRNEPSYKIATRISK AFD. OB;52.0;50.0;;;;;;;;;
afd;1301026;19790101;19790101;19821231;BØRNEPSYK. AFD. OB, DAGAFSN.;52.0;50.0;;;;;;;;;
afd;1301026;19830101;19830101;19871231;BØRNEPSYK. AFD. OB, DAGAFSN.;52.0;50.0;;;;;;;;;
afd;1301026;19880101;19880101;19901231;BØRNEPSYK. AFD. OB, DAGAFSN.;52.0;50.0;;;;;;;;;
afd;1301026;19910101;19910101;19911231;BØRNEPSYK. AFD. OB, DAGAFSN.;52.0;50.0;;;;;;;;;
afd;1301027;19920101;19920101;19941231;BØRNEPSYKIATRISK AMBULATORIUM;52.0;50.0;;;;;;;;;
afd;1301027;19950101;19970220;19970331;BØRNEPSYKIATRISK AMBULATORIUM;52.0;50.0;;;;;;;;;
afd;1301029;19770101;19770101;19781231;BØRNEPSYKIATRISK AMB. OB;52.0;;;;;;;;;;
afd;1301029;19790101;19790101;19821231;BØRNEPSYK. AMB. OB;52.0;50.0;;;;;;;;;
afd;1301029;19830101;19830101;19871231;BØRNEPSYK. AMB. OB;52.0;50.0;;;;;;;;;
afd;1301029;19880101;19880101;19901231;BØRNEPSYK. AMB. OB;52.0;50.0;;;;;;;;;
afd;1301029;19910101;19910101;19911231;BØRNEPSYK. AMB. OB;52.0;50.0;;;;;;;;;
afd;130103;20060101;20250527;20260630;Hjertemedicinsk Klinik, B;;;;;SKS;;;;3.0;;
afd;1301031;19760401;19760401;19781231;MEDICINSK AFDELING B;1.0;61.0;;;;;;;;;
